732,Socit Nautique de la Basse Seine-2,9
733,Univ. of Brussels,51
734,"Concordia Turnverein, St Louis",4
735,Rowing Club Castillon-3,9
736,Frip IV,9
737,Mad Dog,42
738,Hb-24,9
739,Hb-20,9
740,"South St Louis Turnverein, St Louis",41
741,Century Boat Club-1,4
742,Unique,88
743,Pan-Hellenic Athletic Club,23
744,"Phalainis ton Thorichtou ""Hydra""-2",23
745,Viking,6
746,Silja,6
747,Bermudian,150
748,Dresden,42
749,United States/Great Britain,88
750,Mignon-29,9
751,Mignon-3,9
752,Favorite-17,9
753,Favorite-1,9
754,St. Louis Amateur Athletic Association,4
755,Naiad,44
756,Pakaria,44
757,Ireland-3,88
758,Serbia-2,164
759,United States-14,4
760,Oxalis,103
761,Gitana-21,9
762,Gitana-2,9
763,Joy,3
764,Thalatta,3
765,Trintel II,3
766,"Central Turnverein, Chicago",4
767,Galopin-20,9
768,Galopin-9,9
769,France-4,9
770,Berliner Ruderclub,41
771,Rhythm,4
772,"Turnverein Vorwrts, Chicago",4
773,Guanahani,162
774,Unknown,225
775,Spirit III,4
776,Pannonia RC/National RC,30
777,Bella,5
778,May-Be 1960,131
779,May Be,80
780,Inga-Lill XXXXIII,5
781,Mexico-1,27
782,Nirwana,41
783,Omilos Ereton Peiraios-2,23
784,Llanoria,4
785,Marmi II-1,6
786,Kitty-1,80
787,Vaxholm Roddklubb,80
788,Tuvalu,226
789,A North American Team,27
790,Nirefs,23
791,Proteus II,23
792,Finn II,5
793,Impala,45
794,Missouri Athletic Club-3,4
795,Pam,150
796,Oleander II,150
797,Apache,6
798,Roklubb Kbnhavn-2,2
799,Tu-Fri,5
800,Tutti V,8
801,Cha-Cha III,161
802,Augsburg,15
803,Leander Club #2-2,88
804,Ariel,42
805,Encore,6
806,Feo,88
807,Seawanhaka Boat Club-1,4
808,Gem II,88
809,Gem III,162
810,Gem IV,162
811,Gem VII,162
812,Pupilles de Neptune de Lille #1-3,9
813,Chaje II,5
814,Ludwigshafener Ruder Verein-1,41
815,Leander Club #1-1,88
816,Dylan-2,88
817,Moorina,44
818,30. Februar,131
819,Cercle Nautique de Reims-4,9
820,Cuba-2,21
821,Struten,6
822,Gyrinus-1,88
823,Ylliam II,73
824,East Germany-3,76
825,Paka V,41
826,Brigantia,131
827,Sydney Rowing Club,151
828,Espardate,103
829,Australia/Great Britain,44
830,Kannibaltje,9
831,Milwaukee Athletic Club-1,4
832,Xantippa,5
833,Skum,2
834,Miss Denmark 1964,2
835,Kemphaan,3
836,Helsingfors R. K.,5
837,Newfoundland,227
838,Emily,88
839,Fram III,6
840,Mizar,20
841,Ubu,51
842,St. Louis Southwest Turnverein #2-3,4
843,"Socialer Turnverein, Detroit",4
844,Bohemia-1,206
845,Essen,71
846,Miss Nippon V,71
847,Argeste,15
848,Gullvinge,20
849,United States-4,4
850,South Korea-1,148
851,Bajazzo,79
852,Cinara-13,9
853,Ilderim,80
854,Tantalus,41
855,Peiraikos Syndesmos-2,23
856,Baby-9,9
857,Baby-1,9
858,Femur-18,9
859,Femur-1,9
860,Kosovo,228
861,Colette-10,9
862,Colette-12,9
863,Germany/United States,4
864,"Germania Ruder Club, Hamburg",41
865,Freddy,51
866,Rika II,66
867,Korshun,28
868,Hungary-2,30
869,Patricia,65
870,Tlaloc,27
871,Springbok,45
872,Aretusa,15
873,Quicksilver-2,88
874,Viktoriya,28
875,"Germania Ruder Club, Hamburg-2",41
876,Omilos Ereton Smyrnis,23
877,Belarus-2,22
878,Alcaid,103
879,Finland-1,5
880,Finland-2,5
881,Alain IV,73
882,Jupiter,4
883,Three Leaves,43
884,"Philadelphia Turngemeinde, Philadelphia",4
885,K.S.S.S. 1912-2,80
886,Unified Team-3,70
887,Paka,88
888,Sheerio,5
889,Pan II,6
890,Pasodoble,11
891,Freja,80
892,India-2,57
893,Sass-2,80
894,Roy,71
895,Ukraine-1,87
896,Deutscher Schwimm Verband Berlin,41
897,Jet,42
898,Belgium-3,51
899,Shrew II,4
900,Sylvia,80
901,Salamander,88
902,Denmark-3,2
903,Ingegerd,80
904,Slovakia-2,173
905,Johan,88
906,Jamaica-2,126
907,Andromeda,88
908,Hornet,44
909,South Sudan,229
910,Sweden-4,80
911,Chance,80
912,Brat,88
913,Yeoman V,45
914,Knigsberg,30
915,Don Schufro,2
916,Vinga-1,80
917,Aloha II,80
918,Raili,5
919,Syndi,42
920,Vento Sul,74
921,Sans Atout-1,80
922,Miss Nippon IV,126
923,New Zealand-1,102
924,Tramontane,9
925,Sandra,9
926,"Milwaukee Turnverein, Milwaukee",4
927,Nurdug II,2
928,Eleda,6
929,Lbeck,74
930,Yeoman,162
931,Boer Team,45
932,Beatrijs III-1,3
933,Lancet,88
934,West Germany-3,75
935,Lesotho,230
936,Ravenswood Boat Club-2,4
937,Whisper,71
938,Irene,6
939,Balaton,30
940,Kuling,80
941,Sif,80
942,Djinn,20
943,Mascotte,3
944,Bona Fide,88
945,Laurea-1,88
946,Skidoo,4
947,Tomahawk II,42
948,Whirlaway,42
949,Sorais-2,88
950,Minotaur,4
951,United States-5,4
952,Surprise,131
953,Zut,51
954,Tan-Fe-Pah,51
955,Ciss,51
956,Australia-3,44
957,Bohemia-3,206
958,Boreas,71
959,MitaII,71
960,Escapade,74
961,Slovakia-1,173
962,Ralia,5
963,Clearwater,2
964,Angerburg,4
965,Singapore-2,66
966,United States-8,4
967,Barco Deloro,3
968,Dick-8,9
969,Yugoslavia-2,161
970,Kalayaan,65
971,Bohemia-2,206
972,Olimpia,30
973,Macky VI,41
974,Nrnberg,3
975,Nephos I,23
976,Tengiri,64
977,Hayama,80
978,Rush VII,80
979,Rush V,80
980,Ethnikos Gymnastikos Syllogos,23
981,John B,162
982,Bim,162
983,Bonaparte,41
984,North Korea-2,184
985,Mythilus,4
986,Rambo,71
987,Floresco,80
988,Hong Kong-2,196
989,Luxembourg-2,119
990,Lucky,6
991,Spirit VI,4
992,Lully II,6
993,Sildra-1,6
994,Noreg,6
995,Subbnboana,41
996,"Phalainis ton Thorichtou ""Psara""-3",23
997,Slovenia-1,99
998,Rostock,41
999,Norman-1,19
1000,Olympion,23
1001,Sunshine,80
1002,Heidelberg,79
1003,Amulet-7,9
1004,Amulet-3,9
1005,Omas Helliniki P. S.,23
1006,Crocodile-13,9
1007,Crocodile-11,9
1008,Leipzig,9
1009,Red Indian,9
1010,Alcyon-6,9
1011,Alcyon-7,9
1012,Suzon IV-39,9
1013,Suzon IV-5,9
1014,Mascaret-28,9
1015,Mascaret-4,9
1016,Poland-3,95
1017,Sibindi-2,88
1018,Pupilles de Neptune de Lille-1,9
1019,Combine,162
1020,Stade Franais AC-2,9
1021,Kathleen,4
1022,Club Nautique de Lyon-2,9
1023,Holland,3
1024,Starita,3
1025,United States-12,4
1026,Argo II,42
1027,State VI,42
1028,Frimousse,4
1029,Denmark-4,2
1030,Portugal-2,103
1031,France/Great Britain,88
1032,Gyp-23,9
1033,Gyp-6,9
1034,Zefyros,23
1035,Pirouette-31,9
1036,Pirouette-5,9
1037,Societ Nautique de la Marne-1,9
1038,Mebi,15
1039,Slovenia-2,99
1040,Riccar,71
1041,Japan-3,71
1042,Lynn,5
1043,Neptun II,28
1044,Potomac Archers,4
1045,Ireland-1,43
1046,Brentina,4
1047,Nan-2,88
1048,Hannover,103
1049,Scamasaxe-34,9
1050,Scamasaxe-2,9
1051,Scamasaxe-3,9
1052,Three Star Too,4
1053,Bellatrix IX,41
1054,Bellatrix XIII,41
1055,Jeanette-25,9
1056,Jeannette-18,9
1057,Turquoise-1,9
1058,Turquoise-3,9
1059,Roehampton-1,88
1060,Glisten,42
1061,Nadine,3
1062,Grifone,15
1063,Twinkle,88
1064,Myojo,71
1065,Ducky-16,9
1066,Ducky-4,9
1067,Rose Pompon,9
1068,Souriceau-38,9
1069,Souriceau-4,9
1070,United States-11,4
1071,Lady C,88
1072,Frieda,4
1073,Marsouin-26,9
1074,Marsouin-8,9
1075,Persey,28
1076,Hi-Hi,2
1077,Atalanta Boat Club-1,4
1078,Atalanta Boat Club-2,4
1079,Wendehals,41
1080,New York Athletic Club,4
1081,Titia,88
1082,Pimm,74
1083,Gustel X,41
1084,Gustl XI,41
1085,Thailand-1,149
1086,Pop Art,42
1087,Barrenjoey,44
1088,South Africa-1,45
1089,Voloira II,15
1090,Uzbekistan-2,67
1091,Bremen,5
1092,Quando Quando,44
1093,Donar III,131
1094,Hojwa,80
1095,Tineke,4
1096,Danuta,95
1097,Maryke,44
1098,Falcon VI,44
1099,Thailand-2,149
1100,Manana,42
1101,Pandora,102
1102,Rampage,20
1103,Diabolo St Maurice,9
1104,Ravel,4
1105,Humbug V,80
1106,Astrid III,9
1107,Kln,73
1108,Demi-Mondaine-15,9
1109,Demi-Mondaine-17,9
1110,Nokaut II,28
1111,Almaz,28
1112,Tulilind,28
1113,New Zealand-2,102
1114,Notavel,103
1115,Galopin De La Font,103
1116,Margaret,4
1117,Portugal-1,103
1118,Comanche,4
1119,Cicely-1,88
1120,Ma'Lindo,103
1121,Harmony,102
1122,Independent Rowing Club-3,4
1123,Marie-Tim,23
1124,Uzbekistan-1,67
1125,Orion,42
1126,Merope,143
1127,Scaup,42
1128,Legionario,15
1129,Merope III,15
1130,Enotria,15
1131,Verveine-41,9
1132,Verveine-19,9
1133,Bohemia/Great Britain,206
1134,Ariette-8,9
1135,Ariette-10,9
1136,Greenoaks Dundee,44
1137,Fantlet-2,9
